name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
,skirmish_unit,Skirmish Unit,Threat,displacer_threat,7,3000,600,2500,2500,200,75,,130,150,100,60,90,250,FRONT,,150,0.4,1.2,,,0,0,10,50,0.25,200,10,10000,100,10,,,4,4,,,,,,,,"threat, threat_combat, threat_skirmish, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,2,,231
,overseer_unit,Overseer Unit,Threat,energy_lash,25,5000,900,5000,5000,400,100,,90,90,70,30,60,350,OMNI,,150,0.4,1.2,,,0,0,40,100,0.5,200,9,100000,100,10,,,8,8,,,,,,,,"threat, threat_overseer, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,3,,321
,assault_unit,Assault Unit,Threat,incursion_mode,12,7000,1000,6000,5000,400,100,,90,90,80,30,60,500,FRONT,,150,0.4,1.2,,,0,0,80,100,0.5,200,9,80000,100,10,,,10,10,,,,,,,,"threat, threat_aggressive, threat_combat, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,2,,322
,hive_unit,Hive Unit,Threat,fragment_volley,20,16000,1600,10000,8333,500,175,,70,50,40,15,20,2000,FRONT,,210,0.4,1.2,,,0,0,150,150,0.75,200,10,200000,100,10,,,22,22,,,,,,,,"threat, threat_timid, threat_hive, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,3,,417
,standoff_unit,Line Unit,Threat,extraction_protocol,18,18000,1700,12000,11667,700,175,,70,70,60,15,30,500,FRONT,,150,0.4,1.2,,,0,0,120,150,0.75,200,9,150000,100,10,,,20,20,,,,,,,,"threat, threat_combat, codex_unlockable, limited_tooltip_if_locked",,,,0.5,2,3,,418
,fabricator_unit,Fabricator Unit,Threat,construction_swarm,600,30000,2000,20000,25000,1000,275,,40,20,15,6,9,10000,OMNI,,150,0.4,1.2,,,0,0,2000,1000,1,1000,8,500000,1000,10,,,20,20,,,,,,,,"threat, threat_fabricator, codex_unlockable, limited_tooltip_if_locked, full_cr_recovery",,,,0.5,3,4,,515
,shrouded_tendril,Shrouded Tendril,Shrouded Dweller,convulsive_lunge,20,15000,1,6000,6250,500,130,,120,240,240,50,100,500,OMNI,,180,0,0.7,,,0,0,0,0,1,0,5,0,100,1,,,10,10,,,,,,,,,"dweller, dweller_reckless, no_armor_schematic, codex_unlockable, monster, limited_tooltip_if_locked, no_battle_salvage",Not available,shrouded_tendril_Roiling,,0,,,,323
,shrouded_eye,Shrouded Eye,Shrouded Dweller,darkened_gaze,40,25000,1,20000,16667,1000,175,,100,200,200,40,80,1500,OMNI,,360,0,0.7,,,0,0,0,0,1,0,5,0,100,1,,,20,20,,,,,,,COMBAT,"dweller, dweller_reckless, no_armor_schematic, codex_unlockable, monster, limited_tooltip_if_locked, no_battle_salvage",Not available,shrouded_eye_Darkened,,0,,,,323
,shrouded_maelstrom,Shrouded Maelstrom,Shrouded Dweller,tenebrous_expulsion,40,40000,1,15000,16667,1000,175,,50,100,100,30,60,2500,FRONT,,150,0,0.7,,,0,0,0,0,1,0,5,0,100,1,,,20,20,,,,,,,,,"dweller, dweller_timid, no_armor_schematic, codex_unlockable, monster, limited_tooltip_if_locked, no_battle_salvage",Not available,shrouded_maelstrom_Menacing,,0,,,,324
,shrouded_maw,Shrouded Maw,Shrouded Dweller,convulsive_lunge,200,100000,1,40000,66667,4000,300,,70,150,150,15,15,10000,FRONT,,90,0,0.7,,,0,0,0,0,1,0,5,0,100,1,,,40,40,,,,,,,COMBAT,"dweller, dweller_reckless, no_armor_schematic, codex_unlockable, monster, center_diamond_on_hull_center, limited_tooltip_if_locked, no_battle_salvage",Not available,shrouded_maw_Ravenous,,0,,,,516
